n,r,m
"(:Resource:owl__Class {rdfs__comment: 控制線或曲面輪廓偏差之公差。,rdfs__label: ProfileTolerance,uri: 輪廓類公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制整體曲面輪廓偏差之公差。公差區域限制在以直徑為t之球所形成之兩包絡面之間,各球心均位於一真確幾何形狀之曲面上。,rdfs__label: ProfileOfSurfaceTolerance,uri: 面輪廓度公差})"
"(:Resource:owl__Class {rdfs__comment: 控制線或曲面輪廓偏差之公差。,rdfs__label: ProfileTolerance,uri: 輪廓類公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 用於表示最大極限尺寸與最小極限尺寸之差。,rdfs__label: Tolerance,uri: 公差})"
"(:Resource:owl__Class {rdfs__comment: 控制線或曲面輪廓偏差之公差。,rdfs__label: ProfileTolerance,uri: 輪廓類公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制單一截面輪廓形狀偏差之公差。公差區域限制在以直徑為t之圓所形成之兩包絡線之間,各圓之圓心均位於一真確幾何形狀之曲線上。,rdfs__label: ProfileOfLineTolerance,uri: 線輪廓度公差})"
(:Resource:owl__ObjectProperty {uri: 有參考公差}),[:rdfs__subPropertyOf],(:Resource:owl__ObjectProperty {uri: 有個別參考公差})
(:Resource:owl__ObjectProperty {uri: 有參考公差}),[:rdfs__subPropertyOf],(:Resource {uri: topObjectProperty})
(:Resource:owl__ObjectProperty {uri: 有參考公差}),[:rdfs__subPropertyOf],(:Resource:owl__ObjectProperty {uri: 有交互參考公差})
(:Resource:owl__Class {uri: 平面}),[:rdfs__subClassOf],(:Resource:owl__Class {uri: 特徵面})
"(:Resource:owl__Class {rdfs__comment: 控制整體表面之總偏擺程度。,rdfs__label: TotalRunoutTolerance,uri: 總偏轉度公差})",[:owl__disjointWith],"(:Resource:owl__Class {rdfs__comment: 控制單一截面之圓周偏擺程度。,rdfs__label: CircularRunoutTolerance,uri: 圓偏轉度公差})"
"(:Resource:owl__Class {rdfs__comment: 控制整體表面之總偏擺程度。,rdfs__label: TotalRunoutTolerance,uri: 總偏轉度公差})",[:rdfs__domain],(:Resource:owl__ObjectProperty {uri: 有交互參考公差})
"(:Resource:owl__Class {rdfs__comment: 控制整體表面之總偏擺程度。,rdfs__label: TotalRunoutTolerance,uri: 總偏轉度公差})",[:rdfs__subClassOf],"(:Resource:owl__Class {rdfs__comment: 控制旋轉特徵偏擺情形之公差。,rdfs__label: RunoutTolerance,uri: 偏轉類公差})"
(:Resource:owl__Class {uri: 圓柱面}),[:rdfs__subClassOf],(:Resource:owl__Class {uri: 外圓柱面})
(:Resource:owl__Class {uri: 圓柱面}),[:rdfs__subClassOf],(:Resource:owl__Class {uri: 內圓柱面})
(:Resource:owl__Class {uri: 圓柱面}),[:rdfs__subClassOf],(:Resource:owl__Class {uri: 特徵面})
(:Resource:owl__ObjectProperty {uri: 有交互參考公差}),[:rdfs__domain],"(:Resource:owl__Class {rdfs__comment: 控制特徵與基準之垂直程度。公差區域限制在相距t且垂直於基準線/面之兩平行平面之間。,rdfs__label: PerpendicularityTolerance(Per),uri: 垂直度公差})"
(:Resource:owl__ObjectProperty {uri: 有交互參考公差}),[:rdfs__domain],"(:Resource:owl__Class {rdfs__comment: 控制整體表面之總偏擺程度。,rdfs__label: TotalRunoutTolerance,uri: 總偏轉度公差})"
(:Resource:owl__ObjectProperty {uri: 有交互參考公差}),[:rdfs__domain],"(:Resource:owl__Class {rdfs__comment: 控制兩特徵間距離允許變動範圍。,rdfs__label: DistanceTolerance(Dis),uri: 距離公差})"
(:Resource:owl__ObjectProperty {uri: 有交互參考公差}),[:rdfs__domain],"(:Resource:owl__Class {rdfs__comment: 控制單一截面之圓周偏擺程度。,rdfs__label: CircularRunoutTolerance,uri: 圓偏轉度公差})"
(:Resource:owl__ObjectProperty {uri: 有交互參考公差}),[:rdfs__domain],"(:Resource:owl__Class {rdfs__comment: 控制特徵相對基準對稱程度。,rdfs__label: SymmetryTolerance(Sym),uri: 對稱度公差})"
(:Resource:owl__ObjectProperty {uri: 有交互參考公差}),[:rdfs__domain],"(:Resource:owl__Class {rdfs__comment: 控制特徵與基準之平行程度。公差區域限制在相距t且平行於基準線/面之兩平面之間。,rdfs__label: ParallelismTolerance(Par),uri: 平行度公差})"
(:Resource:owl__ObjectProperty {uri: 有交互參考公差}),[:rdfs__domain],"(:Resource:owl__Class {rdfs__comment: 特徵實際位置相對於理論位置之變動範圍，用於限制軸線或中心平面的位置變動量。,rdfs__label: PositionTolerance(Pos),uri: 位置度公差})"
(:Resource:owl__ObjectProperty {uri: 有交互參考公差}),[:rdfs__domain],"(:Resource:owl__Class {rdfs__comment: 控制兩圓柱或圓形特徵中心軸線一致程度。公差區域限制在一個直徑為t,且圓心與基準點重合之圓內。,rdfs__label: ConcentricityTolerance(Con),uri: 同心度公差})"
(:Resource:owl__ObjectProperty {uri: 有交互參考公差}),[:rdfs__range],(:Resource:owl__Class {uri: 特徵面})
